time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170111T090422,158.8,200,161254,158.9,4821,332746
20170111T090422,158.7,10086,159911,158.9,4821,333299
20170111T090422,158.8,200,160111,158.9,4821,333299
20170111T090422,158.7,10086,159911,158.9,4821,333299
20170111T090422,158.8,200,160111,158.9,4821,333299
20170111T090422,158.7,10086,159911,158.9,4821,333299
20170111T090422,158.8,200,160111,158.9,4821,333299
20170111T090422,158.8,2682,162593,158.9,4821,333299
20170111T090422,158.8,1541,161452,158.9,4821,333299
20170111T090422,158.8,1541,161452,158.9,4143,332621
20170111T090422,158.8,1341,161805,158.9,4143,332068
20170111T090422,158.8,1541,162005,158.9,4143,332068
20170111T090422,158.8,200,160664,158.9,4143,332068
20170111T090423,158.7,10086,160464,158.9,4143,332068
20170111T090423,158.8,200,160664,158.9,4143,332068
20170111T090423,158.8,700,161164,158.9,4143,332592
20170111T090426,158.8,700,161164,158.9,4943,333392
20170111T090429,158.8,500,160964,158.9,4943,333392
20170111T090429,158.8,599,161063,158.9,4943,333392
20170111T090429,158.8,568,161032,158.9,4943,333392
20170111T090429,158.8,99,160563,158.9,4943,333392
20170111T090429,158.8,68,160532,158.9,4943,333392
20170111T090429,158.7,10086,160464,158.9,4943,333392
20170111T090429,158.7,10086,159911,158.8,550,333895
20170111T090430,158.7,10086,159611,158.9,5543,333863
20170111T090430,158.7,10086,159611,158.9,4943,333263
20170111T090431,158.7,10086,159611,158.9,5391,330406
20170111T090433,158.7,11114,161192,158.9,5391,330406
20170111T090438,158.7,11114,161192,158.9,6391,331406
20170111T090500,158.7,11114,161196,158.8,200,333595
20170111T090500,158.7,11114,161196,158.8,887,333745
20170111T090500,158.7,11114,161196,158.8,687,333545
20170111T090500,158.7,11114,161196,158.9,5943,332858
20170111T090502,158.7,11114,161196,158.9,4943,331944
20170111T090502,158.7,11114,161196,158.9,4143,331144
20170111T090511,158.7,11114,161288,158.9,4943,332544
20170111T090511,158.7,12171,164345,158.9,4943,332544
20170111T090513,158.7,12478,165880,158.9,4943,333772
20170111T090519,158.7,12478,165880,158.9,4143,333792
20170111T090528,158.7,12478,165880,158.8,826,334618
20170111T090528,158.7,12171,165573,158.8,826,334618
20170111T090528,158.7,12406,165808,158.8,826,335218
20170111T090528,158.7,12406,165808,158.8,375,334767
20170111T090528,158.7,12406,165808,158.9,4143,332892
20170111T090528,158.7,12713,166115,158.9,4143,332892
20170111T090528,158.7,13213,166615,158.9,4143,332892
20170111T090528,158.7,13174,166576,158.9,4143,332892
20170111T090528,158.7,12978,166380,158.9,4143,332892
20170111T090537,158.7,11950,165910,158.9,4143,332892
20170111T090537,158.7,12978,166938,158.9,4143,332892
20170111T090545,158.7,13478,164012,158.9,4143,332892
20170111T090547,158.7,13809,165343,158.9,4143,332892
20170111T090552,158.7,14097,165631,158.9,4143,332892
20170111T090555,158.7,15097,165631,158.9,4143,332892
20170111T090602,158.8,1000,166539,158.9,4143,333061
20170111T090606,158.8,2028,166900,158.9,4143,333661
20170111T090607,158.8,2326,166910,158.9,4143,333661
20170111T090611,158.8,3326,167910,158.9,4143,333108
20170111T090611,158.8,3876,168460,158.9,4143,333108
20170111T090611,158.8,3326,167910,158.9,4143,333108
20170111T090614,158.8,3326,168210,158.9,5343,334308
20170111T090614,158.8,3326,168210,158.9,6143,335108
20170111T090617,158.8,3626,168510,158.9,6143,335108
20170111T090637,158.8,2598,163460,158.9,6143,331892
20170111T090637,158.8,3626,164488,158.9,6143,331892
20170111T090643,158.8,4035,164897,158.9,6143,332455
20170111T090650,158.8,3435,164587,158.9,6143,332455
20170111T090700,158.8,3502,164654,158.9,6143,333246
20170111T090700,158.8,4152,165304,158.9,6143,333246
20170111T090700,158.8,3502,164654,158.9,6143,333246
